accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.7835696339607239,0.8878907561302185,9.999999747378752e-06,0.49674421548843384,0.4708910882472992,0.8432624340057373,0.8102362155914307,0.883435845375061,0.4637450575828552,0.5114942789077759,0.7148594260215759
0.7906588912010193,0.8912853002548218,9.999999747378752e-06,0.4914640486240387,0.4805510640144348,0.8411347270011902,0.8149606585502625,0.8856641054153442,0.4630202353000641,0.520348846912384,0.718875527381897
0.796358048915863,0.9011679887771606,9.999999747378752e-06,0.47822263836860657,0.48881658911705017,0.852482259273529,0.8228346705436707,0.8885610103607178,0.4570493698120117,0.5359281301498413,0.718875527381897
0.8081734776496887,0.9080715775489807,9.999999747378752e-06,0.46676868200302124,0.5062034726142883,0.8680850863456726,0.8181102275848389,0.8884745836257935,0.4598430097103119,0.5261628031730652,0.7269076108932495
0.8116486072540283,0.9081993699073792,9.999999747378752e-06,0.466675728559494,0.5116083025932312,0.8595744967460632,0.8204724192619324,0.8896979093551636,0.45694124698638916,0.5309734344482422,0.7228915691375732
0.8119266033172607,0.9083758592605591,9.999999747378752e-06,0.46880924701690674,0.5121122002601624,0.8546099066734314,0.8259842395782471,0.8892101049423218,0.4548574388027191,0.5421686768531799,0.7228915691375732
0.8185988068580627,0.9203743934631348,9.999999747378752e-06,0.4481748640537262,0.5220310688018799,0.8822695016860962,0.8251968622207642,0.8903783559799194,0.4524431824684143,0.5402985215187073,0.7269076108932495
0.8265221118927002,0.9226384162902832,9.999999747378752e-06,0.4463745355606079,0.5353403091430664,0.8702127933502197,0.8409448862075806,0.8917216658592224,0.44375741481781006,0.5785953402519226,0.694779098033905
0.8354184031486511,0.9316762685775757,9.999999747378752e-06,0.43030959367752075,0.5496048927307129,0.8879432678222656,0.8409448862075806,0.8931553959846497,0.4392821192741394,0.5818815231323242,0.6706827282905579
0.844314694404602,0.9347584247589111,9.999999747378752e-06,0.4232472777366638,0.565315306186676,0.890070915222168,0.8417322635650635,0.8938397765159607,0.4401049017906189,0.5857142806053162,0.6586345434188843
0.8458437323570251,0.9383308291435242,9.999999747378752e-06,0.4179001748561859,0.5673378109931946,0.8992908000946045,0.8448818922042847,0.8941091895103455,0.4395900070667267,0.5942028760910034,0.6586345434188843
0.8537670373916626,0.9421021342277527,9.999999747378752e-06,0.41158175468444824,0.5812159776687622,0.9085106253623962,0.8503937125205994,0.8944966793060303,0.43779340386390686,0.6104868650436401,0.654618501663208
0.8518209457397461,0.9446421265602112,9.999999747378752e-06,0.4071047902107239,0.5784671306610107,0.8992908000946045,0.8480315208435059,0.8950905799865723,0.4378773272037506,0.6029411554336548,0.6586345434188843
0.8596052527427673,0.9491280317306519,9.999999747378752e-06,0.3998464047908783,0.5931098461151123,0.9035460948944092,0.8511810898780823,0.8967859745025635,0.4371921420097351,0.6127819418907166,0.654618501663208
0.8661384582519531,0.9517994523048401,9.999999747378752e-06,0.394901841878891,0.605374813079834,0.9106382727622986,0.8559055328369141,0.8953934907913208,0.43474438786506653,0.6309523582458496,0.6385542154312134
0.8690575361251831,0.9523761868476868,9.999999747378752e-06,0.3941931128501892,0.6107954382896423,0.914893627166748,0.8527559041976929,0.8953089714050293,0.43549099564552307,0.6240000128746033,0.6265060305595398
0.8711426258087158,0.9561259746551514,9.999999747378752e-06,0.38639408349990845,0.6159385442733765,0.909929096698761,0.8559055328369141,0.8960268497467041,0.4342420697212219,0.6410256624221802,0.6024096608161926
0.8840700387954712,0.9629048109054565,9.999999747378752e-06,0.3723352253437042,0.640487790107727,0.931205689907074,0.8582677245140076,0.8958734273910522,0.4336809813976288,0.649350643157959,0.6024096608161926
0.8811509609222412,0.9630202054977417,9.999999747378752e-06,0.37317338585853577,0.6354319453239441,0.9234042763710022,0.8574802875518799,0.8946757316589355,0.43579956889152527,0.6452991366386414,0.6064257025718689
0.8842090368270874,0.962225615978241,9.999999747378752e-06,0.37382498383522034,0.6430342197418213,0.9198581576347351,0.8527559041976929,0.8949431777000427,0.4375247061252594,0.632478654384613,0.5943775177001953
0.89449542760849,0.9658159017562866,9.999999747378752e-06,0.3659927248954773,0.6676970720291138,0.9191489219665527,0.8551180958747864,0.8941034078598022,0.4376433491706848,0.6431717872619629,0.586345374584198
0.8942174315452576,0.9670482277870178,1.9999999949504854e-06,0.36467525362968445,0.6643037796020508,0.9304964542388916,0.8551180958747864,0.8939086198806763,0.43789350986480713,0.6431717872619629,0.586345374584198
0.8967195153236389,0.9705643653869629,1.9999999949504854e-06,0.35714098811149597,0.6702399253845215,0.931205689907074,0.8551180958747864,0.8938615322113037,0.43833109736442566,0.644444465637207,0.5823293328285217
0.8967195153236389,0.9695574641227722,1.9999999949504854e-06,0.35867929458618164,0.6698930263519287,0.932624101638794,0.8527559041976929,0.8943176865577698,0.43838751316070557,0.6371681690216064,0.5783132314682007
0.9000555872917175,0.9712852239608765,4.0000000467443897e-07,0.354531466960907,0.6754697561264038,0.9432623982429504,0.8535432815551758,0.8940109610557556,0.4385859966278076,0.6399999856948853,0.5783132314682007
0.8963024616241455,0.9716593623161316,4.0000000467443897e-07,0.3534916043281555,0.6673387289047241,0.9390071034431458,0.8543307185173035,0.8942666053771973,0.43833935260772705,0.6428571343421936,0.5783132314682007
0.9021406769752502,0.974896252155304,4.0000000467443897e-07,0.34661877155303955,0.6786437034606934,0.9510638117790222,0.8551180958747864,0.8943119049072266,0.43811559677124023,0.644444465637207,0.5823293328285217
0.8929663896560669,0.9704005122184753,1.0000000116860974e-07,0.3576134145259857,0.6612903475761414,0.9304964542388916,0.8535432815551758,0.8943668603897095,0.43798694014549255,0.6399999856948853,0.5783132314682007
